6430	80179362
6430	80179380
6430	80179414
6430	80179442
6430	80179462
6430	80179491
6430	80179506
6430	80179545
6430	80179591
6430	80179616
6430	80179649
6430	80179679
6430	80179716
6430	80179731
4895	84079583
4895	84079707
4895	84079911
4895	84080022
4895	84080184
4895	84080391
4895	84080512
4895	84080696
4895	84080822
4895	84081025
4895	84089417
4895	84089580
4895	84089719
4895	84089913
4895	84090021
4895	84090215
4895	84090343
4895	84090456
4895	84140895
4895	84141123
3387	85149777
8845	85237022
8289	85555583
8289	85555729
8289	85555890
8289	85555987
8289	85556119
8289	85556221
8289	85556336
8289	85556456
8804	85603248
2393	85937387
3387	86505467
2730	87070160
5358	87872879
10997	88301885
10997	88301956
10997	88302032
10997	88302189
10997	88302331
6483	88369621
6483	88369622
6483	88369623
6483	88369625
